ifInOctets,ifOutOctets,ifOutDiscards,ifInUcastPkts,ifInDiscards,ifOutUcastPkts,ipInReceives,ipInDelivers,ipOutRequests,ipOutDiscards,ipInDiscards,ipForwDatagrams,ipOutNoRoutes,ipInAddrErrors,label
-0.5960895654540884,-0.5229256235046709,0.0,-0.6060194277482541,0.0,-0.5463768991211051,-0.8870122957927217,-0.9049333218900769,-1.0088304979914902,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994427980615705,-0.5286796832014037,0.0,-0.6085293183908005,0.0,-0.550817407503179,-0.9051335399734957,-0.9239225636030063,-1.0234246052044287,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5807761045035674,-0.48370808374877244,0.0,-0.6028382297888273,0.0,-0.5393310954372463,0.40871294028845856,0.45120519497490863,0.095028450684547,-1.1960999625683568,0.0,-0.35271782797180634,-0.35245634709469514,0.0,0
-0.607733081081406,-0.5593470277162879,0.0,-0.6072833111556161,0.0,-0.5493595822147815,-0.9054712029085411,-0.9242764004051106,-1.0226684338462453,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960647281392469,-0.5228491966515536,0.0,-0.6060074469094543,0.0,-0.5463600090381113,-0.8869560186368808,-0.9048743490897262,-1.0087548808556719,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994207779284767,-0.5286544048032223,0.0,-0.6085257051219561,0.0,-0.5508036843107466,-0.9050772628176548,-0.9238635908026556,-1.0233489880686104,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5807491240021917,-0.48366141989432787,0.0,-0.6028213044768719,0.0,-0.5393073437580364,0.4131588355998907,0.45574610060191345,0.09759943330237035,-1.1960999625683568,0.0,-0.352710938000102,-0.3506268512168252,0.0,0
-0.6077161661664425,-0.559319485580956,0.0,-0.6072741828974829,0.0,-0.5493474424676298,-0.9054149257527002,-0.9242174276047599,-1.022592816710427,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960562026910199,-0.5228330075010222,0.0,-0.6060006007158544,0.0,-0.5463494527362402,-0.8868997414810399,-0.9048153762893755,-1.0086792637198536,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.599420399545199,-0.5286483681708208,0.0,-0.6085253247778672,0.0,-0.5508015730503724,-0.9050209856618139,-0.9238046180023048,-1.023273370932792,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5807279345386374,-0.4836102885889157,0.0,-0.6028102744982943,0.0,-0.5392830642637328,0.4150722588984817,0.457692203013487,0.09911177601873702,-1.1960999625683568,0.0,-0.35269440206801156,-0.34971210327789015,0.0,0
-0.6077083560991001,-0.5592915833056229,0.0,-0.6072701892845496,0.0,-0.5493389974261329,-0.9053586485968593,-0.9241584548044092,-1.0225171995746087,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5960508875884152,-0.522809538377609,0.0,-0.6059960365867878,0.0,-0.5463399520645563,-0.886843464325199,-0.9047564034890248,-1.0086036465840351,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.599415761393927,-0.5286343312855349,0.0,-0.6085236132294672,0.0,-0.5507962948994368,-0.9049647085059729,-0.9237456452019541,-1.0231977537969736,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5807045191172068,-0.4835552814911094,0.0,-0.6027982936594944,0.0,-0.5392582569543358,0.41704195935291366,0.45969727822541123,0.10047288446346704,-1.1960999625683568,0.0,-0.35267511014723935,-0.3487973553389552,0.0,0
-0.6076996710204278,-0.5592684828969728,0.0,-0.607265625155483,0.0,-0.549330552384636,-0.9053023714410184,-0.9240994820040584,-1.0224415824387902,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.596044038259864,-0.5227836168722827,0.0,-0.6059912822856767,0.0,-0.5463304513928723,-0.886787187169358,-0.904697430688674,-1.0085280294482168,2.881544141674246,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5994112001017585,-0.5286184422516713,0.0,-0.6085217115090228,0.0,-0.5507889054881271,-0.904908431350132,-0.9236866724016035,-1.0231221366611554,0.16311473884584413,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
-0.5806888191672992,-0.48351526307716364,0.0,-0.6027906867777167,0.0,-0.5392397834260614,0.4186177197164592,0.461171598234179,0.10206084431565204,-1.1960999625683568,0.0,-0.3526675311783645,-0.34605311152215024,0.0,0
-0.6076929931467993,-0.559244199171176,0.0,-0.6072623922307275,0.0,-0.5493215795280456,-0.9052460942851775,-0.9240405092037077,-1.022365965302972,1.5223294402600451,0.0,-0.36004393488505015,-0.3780692893848749,0.0,0
